Wavelength	B	G	R	Manufacturer	Name
400	1.18	0.0	0.0	Human	Eye
405	5.175	0.0	2.535		
410	10.793	0.442	4.695		
415	17.998	0.727	5.775		
420	26.911	0.98	5.617		
425	35.898	1.425	4.584		
430	44.392	1.922	3.484		
435	52.515	2.492	2.723		
440	58.872	3.268	2.628		
445	62.958	4.287	2.891		
450	63.802	5.548	3.221		
455	61.633	6.943	3.874		
460	56.876	8.482	4.624		
465	50.456	10.183	5.422		
470	42.693	12.1	6.355		
475	35.309	14.335	7.431		
480	29.489	16.961	8.631		
485	23.373	20.242	10.053		
490	17.685	24.976	11.821		
495	13.043	31.043	14.234		
500	9.529	38.402	18.124		
505	6.798	46.773	24.567		
510	4.805	55.458	33.513		
515	3.288	64.259	41.578		
520	2.152	72.777	49.001		
525	1.431	81.057	56.46		
530	0.992	88.619	62.605		
535	0.73	94.056	67.232		
540	0.505	97.397	70.731		
545	0.232	98.625	73.906		
550	0.102	98.211	76.691		
555	0.001	96.297	79.193		
560	0.0	93.108	81.434		
565	0.0	89.371	83.406		
570	0.0	85.323	84.927		
575	0.0	81.281	85.712		
580	0.0	76.664	85.597		
585	0.0	71.632	84.796		
590	0.0	66.094	82.727		
595	0.0	59.795	79.238		
600	0.0	53.097	74.609		
605	0.0	46.202	68.994		
610	0.0	39.423	62.373		
615	0.0	32.841	55.888		
620	0.0	26.966	49.356		
625	0.0	21.984	43.037		
630	0.0	17.841	36.726		
635	0.0	14.226	30.894		
640	0.0	11.06	25.193		
645	0.0	8.913	20.056		
650	0.0	7.039	15.603		
655	0.0	5.362	12.038		
660	0.0	4.055	9.352		
665	0.0	3.185	7.255		
670	0.0	2.543	5.575		
675	0.0	2.025	4.29		
680	0.0	1.595	3.235		
685	0.0	1.22	2.442		
690	0.0	0.857	1.798		
695	0.0	0.639	1.268		
700	0.0	0.0			
705		0.0			
710		0.0			
715		0.0			
720		0.0			
725		0.0			
730		0.0			
735		0.0			
740		0.0			
745		0.0			
750		0.0			
755		0.0			
760		0.0			
765		0.0			
770		0.0			
775		0.0			
780		0.0			
785		0.0			
790		0.0			
795		0.0			
800		0.0			
805		0.0			
810		0.0			
815		0.0			
820		0.0			
825		0.0			
830		0.0			
835		0.0			
840		0.0			
845		0.0			
850		0.0			
855		0.0			
860		0.0			
865		0.0			
870		0.0			
875		0.0			
880		0.0			
885		0.0			
890		0.0			
895		0.0			
900		0.0			
905		0.0			
910		0.0			
915		0.0			
920		0.0			
925		0.0			
930		0.0			
935		0.0			
940		0.0			
945		0.0			
950		0.0			
955		0.0			
960		0.0			
965		0.0			
970		0.0			
975		0.0			
980		0.0			
985		0.0			
990		0.0			
995		0.0			
1000		0.0			
1005		0.0			
1010		0.0			
1015		0.0			
1020		0.0			
1025		0.0			
1030		0.0			
1035		0.0			
1040		0.0			
1045		0.0			
1050		0.0			
1055		0.0			
1060		0.0			
1065		0.0			
1070		0.0			
1075		0.0			
1080		0.0			
1085		0.0			
1090		0.0			
1095		0.0			
1100		0.0			
